commit_sha,commit_short,date,message,change_type,source_path,destination_path
87d7ef8ad1aaf381c933efc1ba4e4845fe4791ab,87d7ef8,2026-03-25T11:17:33+03:00,"chore: move non-runtime reference packs from root to archive/reference",R100,"accepted_ui_baseline_pack/artifacts/baseline/mobile-compact/05-legal-access.png","archive/reference/accepted_ui_baseline_pack/artifacts/baseline/mobile-compact/05-legal-access.png"
87d7ef8ad1aaf381c933efc1ba4e4845fe4791ab,87d7ef8,2026-03-25T11:17:33+03:00,"chore: move non-runtime reference packs from root to archive/reference",R100,"accepted_ui_baseline_pack/artifacts/baseline/mobile-full/01-hero.png","archive/reference/accepted_ui_baseline_pack/artifacts/baseline/mobile-full/01-hero.png"
87d7ef8ad1aaf381c933efc1ba4e4845fe4791ab,87d7ef8,2026-03-25T11:17:33+03:00,"chore: move non-runtime reference packs from root to archive/reference",R100,"accepted_ui_baseline_pack/artifacts/baseline/mobile-full/02-booking.png","archive/reference/accepted_ui_baseline_pack/artifacts/baseline/mobile-full/02-booking.png"
87d7ef8ad1aaf381c933efc1ba4e4845fe4791ab,87d7ef8,2026-03-25T11:17:33+03:00,"chore: move non-runtime reference packs from root to archive/reference",R100,"accepted_ui_baseline_pack/artifacts/baseline/mobile-full/03-top-menu.png","archive/reference/accepted_ui_baseline_pack/artifacts/baseline/mobile-full/03-top-menu.png"
87d7ef8ad1aaf381c933efc1ba4e4845fe4791ab,87d7ef8,2026-03-25T11:17:33+03:00,"chore: move non-runtime reference packs from root to archive/reference",R100,"accepted_ui_baseline_pack/artifacts/baseline/mobile-full/04-team.png","archive/reference/accepted_ui_baseline_pack/artifacts/baseline/mobile-full/04-team.png"
87d7ef8ad1aaf381c933efc1ba4e4845fe4791ab,87d7ef8,2026-03-25T11:17:33+03:00,"chore: move non-runtime reference packs from root to archive/reference",R100,"accepted_ui_baseline_pack/artifacts/baseline/mobile-full/05-contacts.png","archive/reference/accepted_ui_baseline_pack/artifacts/baseline/mobile-full/05-contacts.png"
87d7ef8ad1aaf381c933efc1ba4e4845fe4791ab,87d7ef8,2026-03-25T11:17:33+03:00,"chore: move non-runtime reference packs from root to archive/reference",R100,"accepted_ui_baseline_pack/artifacts/baseline/mobile-full/06-footer-legal.png","archive/reference/accepted_ui_baseline_pack/artifacts/baseline/mobile-full/06-footer-legal.png"
87d7ef8ad1aaf381c933efc1ba4e4845fe4791ab,87d7ef8,2026-03-25T11:17:33+03:00,"chore: move non-runtime reference packs from root to archive/reference",R100,"accepted_ui_baseline_pack/artifacts/baseline/special-zones/booking-overlap.png","archive/reference/accepted_ui_baseline_pack/artifacts/baseline/special-zones/booking-overlap.png"
87d7ef8ad1aaf381c933efc1ba4e4845fe4791ab,87d7ef8,2026-03-25T11:17:33+03:00,"chore: move non-runtime reference packs from root to archive/reference",R100,"accepted_ui_baseline_pack/artifacts/baseline/special-zones/compact-modal-anchored-to-hero.png","archive/reference/accepted_ui_baseline_pack/artifacts/baseline/special-zones/compact-modal-anchored-to-hero.png"
87d7ef8ad1aaf381c933efc1ba4e4845fe4791ab,87d7ef8,2026-03-25T11:17:33+03:00,"chore: move non-runtime reference packs from root to archive/reference",R100,"accepted_ui_baseline_pack/artifacts/baseline/special-zones/contacts-socials.png","archive/reference/accepted_ui_baseline_pack/artifacts/baseline/special-zones/contacts-socials.png"
